Date,Open,High,Low,Close,Adj Close,Volume
2021-03-05,205.750000,208.229996,202.960007,207.369995,202.847275,3608100
2021-03-08,207.699997,210.589996,207.139999,209.110001,204.549332,3157100
2021-03-09,210.630005,211.199997,208.279999,208.550003,204.001541,3646700
2021-03-10,208.720001,213.630005,208.240005,213.309998,208.657715,3447200
2021-03-11,214.699997,215.229996,211.490005,211.570007,206.955688,3618000
2021-03-12,212.039993,214.240005,211.419998,212.339996,207.708878,2818200
2021-03-15,213.649994,220.550003,213.500000,220.460007,215.651779,5479700
2021-03-16,219.580002,221.300003,217.160004,219.860001,215.064880,3583400
2021-03-17,224.559998,224.899994,220.009995,224.110001,219.222168,5240600
2021-03-18,223.679993,225.350006,221.410004,222.899994,218.038559,3254600
2021-03-19,222.759995,225.179993,221.000000,222.440002,217.588593,7719400
2021-03-22,223.389999,226.910004,222.649994,225.070007,220.161255,4220700
2021-03-23,223.960007,226.399994,223.750000,224.369995,219.476501,2794000
2021-03-24,225.320007,227.020004,224.039993,224.050003,219.163498,2442500
2021-03-25,225.149994,225.320007,222.440002,224.199997,219.310226,3249600
2021-03-26,224.199997,225.279999,222.419998,225.210007,220.298203,3263100
2021-03-29,224.830002,227.880005,224.300003,227.350006,222.391525,3621300
2021-03-30,226.130005,227.020004,224.220001,224.979996,220.073196,2419000
2021-03-31,224.009995,226.490005,224.000000,224.139999,219.251511,3564100
2021-04-01,224.669998,226.220001,223.279999,225.210007,220.298203,2441200
2021-04-05,226.600006,229.500000,226.190002,228.850006,223.858810,2866300
2021-04-06,229.710007,232.270004,228.720001,231.910004,226.852081,3230900
2021-04-07,231.679993,232.809998,231.240005,232.610001,227.536789,2551300
2021-04-08,232.610001,232.800003,229.199997,230.250000,225.228271,2772200
2021-04-09,230.190002,231.610001,228.869995,231.479996,226.431427,2728900
2021-04-12,231.479996,232.380005,230.490005,230.960007,225.922791,2292700
2021-04-13,230.440002,231.660004,229.690002,231.320007,226.274918,2570900
2021-04-14,231.220001,231.289993,229.589996,230.309998,225.286942,2129200
2021-04-15,229.809998,231.360001,229.199997,231.279999,226.235809,2063000
2021-04-16,233.649994,234.259995,232.309998,233.080002,227.996536,2694300
2021-04-19,233.119995,233.300003,230.830002,231.809998,226.754242,2254800
2021-04-20,231.240005,233.210007,231.080002,233.009995,227.928055,1885700
2021-04-21,233.300003,233.860001,231.850006,232.259995,227.194427,2065500
2021-04-22,232.830002,234.039993,231.940002,232.960007,227.879166,1839500
2021-04-23,233.789993,235.240005,233.100006,234.580002,229.463821,2137500
2021-04-26,234.779999,235.350006,231.910004,232.309998,227.243347,2490100
2021-04-27,232.570007,235.630005,232.410004,234.979996,229.855103,2623800
2021-04-28,235.199997,235.449997,232.259995,232.410004,227.341156,2777000
2021-04-29,233.990005,235.800003,232.619995,235.210007,230.080093,3146700
2021-04-30,234.000000,236.289993,233.869995,236.080002,230.931107,2640400
2021-05-03,237.990005,238.179993,235.380005,235.559998,230.422455,2458000
2021-05-04,234.630005,236.130005,233.240005,233.860001,228.759552,2529700
2021-05-05,234.119995,235.350006,231.559998,235.039993,229.913788,2070000
2021-05-06,235.539993,235.649994,233.169998,234.860001,229.737717,1832600
2021-05-07,235.000000,235.720001,233.990005,234.839996,229.718155,1406800
2021-05-10,235.100006,237.919998,235.100006,237.110001,231.938660,2031500
2021-05-11,237.740005,237.800003,232.199997,233.860001,228.759552,3028500
2021-05-12,232.110001,233.570007,227.570007,227.940002,222.968643,3198200
2021-05-13,228.000000,231.080002,227.880005,229.770004,224.758728,2819200
2021-05-14,230.710007,232.639999,230.470001,231.720001,226.666199,1943100
2021-05-17,230.809998,232.300003,230.250000,231.679993,226.627075,1630900
2021-05-18,231.889999,233.250000,231.649994,231.929993,226.871613,2913000
2021-05-19,230.229996,230.619995,228.179993,230.149994,225.130447,2967000
2021-05-20,230.720001,234.020004,230.559998,232.179993,227.116150,1890200
2021-05-21,232.419998,233.399994,230.309998,231.240005,226.196686,2601100
2021-05-24,231.520004,232.649994,231.020004,231.910004,226.852081,1823300
2021-05-25,232.169998,232.770004,230.710007,232.139999,227.077042,2681900
2021-05-26,233.789993,233.789993,232.160004,232.350006,227.282455,1564200
2021-05-27,233.009995,235.080002,232.399994,234.860001,229.737717,5242900
2021-05-28,234.130005,234.410004,232.449997,233.889999,230.052460,2853600
2021-06-01,235.979996,235.990005,232.740005,233.240005,229.413147,2574300
2021-06-02,233.970001,234.330002,232.809998,233.779999,229.944275,3172000
2021-06-03,232.570007,232.759995,230.149994,232.449997,228.636093,3249400
2021-06-04,233.440002,233.800003,232.070007,233.380005,229.550842,1615200
2021-06-07,234.000000,234.070007,231.160004,231.690002,227.888580,1877000
2021-06-08,231.500000,233.979996,231.339996,232.639999,228.822983,2106200
2021-06-09,232.979996,234.320007,231.449997,231.470001,227.672165,1982200
2021-06-10,232.050003,234.899994,231.929993,234.589996,230.740982,2534000
2021-06-11,235.000000,237.500000,234.710007,236.929993,233.042587,2654300
2021-06-14,237.179993,237.770004,234.809998,236.979996,233.091766,1836800
2021-06-15,237.529999,237.809998,235.660004,236.350006,232.472107,1948300
2021-06-16,237.210007,237.279999,233.779999,235.580002,231.714737,2951700
2021-06-17,235.080002,236.270004,233.279999,233.880005,230.042648,1895600
2021-06-18,231.470001,232.889999,228.820007,229.619995,225.852524,4408200
2021-06-21,230.630005,233.229996,229.470001,232.899994,229.078705,2193000
2021-06-22,233.490005,234.860001,232.429993,233.880005,230.042648,1758300
2021-06-23,233.300003,234.449997,232.699997,233.240005,229.413147,1701500
2021-06-24,234.100006,235.160004,232.740005,233.330002,229.501663,1839800
2021-06-25,232.740005,233.410004,232.339996,232.419998,228.606598,3000100
2021-06-28,232.669998,232.750000,230.009995,231.089996,227.298416,2901700
2021-06-29,231.529999,231.710007,230.050003,230.369995,226.590210,1932100
2021-06-30,230.919998,232.250000,230.600006,230.990005,227.200043,2450700
2021-07-01,231.410004,232.399994,230.750000,232.270004,228.459061,2210500
2021-07-02,233.080002,234.110001,232.440002,233.630005,229.796738,1851500
2021-07-06,233.660004,233.899994,231.000000,232.750000,228.931168,1762700
2021-07-07,231.919998,234.990005,231.720001,234.630005,230.780334,2069400
2021-07-08,232.949997,233.830002,231.940002,232.839996,229.019699,1932600
2021-07-09,234.070007,236.229996,233.059998,235.679993,231.813095,2560500
2021-07-12,234.589996,236.240005,234.500000,235.610001,231.744232,2158600
2021-07-13,235.660004,237.470001,235.199997,236.169998,232.295044,1884600
2021-07-14,237.029999,239.050003,236.639999,237.130005,233.239304,1993200
2021-07-15,236.589996,237.389999,234.919998,236.880005,232.993423,2165800
2021-07-16,237.789993,237.880005,234.380005,234.750000,230.898346,1680900
2021-07-19,232.509995,233.320007,226.419998,229.259995,225.498428,3774900
2021-07-20,230.649994,235.520004,230.210007,234.270004,230.426239,3275600
2021-07-21,235.979996,238.110001,235.220001,235.929993,232.058975,2146600
2021-07-22,235.649994,239.690002,235.160004,238.669998,234.754044,2538300
2021-07-23,240.130005,245.050003,239.600006,242.960007,238.973663,3996400
2021-07-26,242.000000,244.570007,241.600006,243.979996,239.976913,2638400
2021-07-27,244.169998,247.050003,244.059998,246.350006,242.308044,3135200
2021-07-28,242.500000,243.800003,239.350006,241.779999,237.813019,4948500
2021-07-29,243.320007,245.199997,242.979996,244.020004,240.016251,2572300
2021-07-30,243.850006,245.410004,242.210007,242.710007,238.727753,2336800
2021-08-02,244.240005,244.679993,239.690002,240.100006,236.160599,2693900
2021-08-03,239.559998,239.949997,235.250000,236.949997,233.062271,3300000
2021-08-04,236.449997,236.600006,233.050003,234.830002,230.977051,2240600
2021-08-05,235.740005,236.809998,234.339996,236.419998,232.540955,2230500
2021-08-06,236.679993,237.139999,235.669998,236.259995,232.383591,1558600
2021-08-09,235.789993,236.070007,234.029999,234.679993,230.829514,2093100
2021-08-10,235.100006,235.100006,233.240005,233.449997,229.619705,2027500
2021-08-11,234.190002,235.940002,233.750000,235.550003,231.685242,1969100
2021-08-12,236.000000,236.759995,235.050003,236.669998,232.786850,1490800
2021-08-13,236.789993,239.000000,236.270004,238.820007,234.901596,1699200
2021-08-16,239.000000,241.050003,238.559998,240.970001,237.016296,2175300
2021-08-17,240.350006,240.839996,238.210007,240.279999,236.337616,1652000
2021-08-18,239.440002,239.759995,237.779999,238.080002,234.173721,2215500
2021-08-19,236.679993,238.119995,236.070007,237.229996,233.337662,1455400
2021-08-20,236.960007,239.389999,236.320007,238.490005,234.577011,1989700
2021-08-23,239.460007,240.070007,237.990005,239.660004,235.727798,2086900
2021-08-24,240.389999,240.389999,238.320007,238.429993,234.517975,1687700
2021-08-25,237.929993,239.600006,237.839996,238.830002,234.911407,1668000
2021-08-26,238.789993,238.919998,235.919998,236.949997,233.062271,2008000
2021-08-27,237.429993,238.369995,236.369995,237.479996,233.583572,1783300
2021-08-30,237.339996,237.759995,235.860001,236.589996,232.708160,2245600
2021-08-31,235.750000,237.729996,234.669998,237.460007,234.844391,2938100
2021-09-01,237.880005,239.039993,237.210007,238.149994,235.526779,2197100
2021-09-02,239.199997,239.949997,238.380005,239.869995,237.227829,2140200
2021-09-03,238.389999,239.649994,237.509995,238.820007,236.189407,1339300
2021-09-07,238.610001,238.610001,235.949997,236.190002,233.588364,1820000
2021-09-08,236.800003,239.460007,236.000000,238.619995,235.991592,2718400
2021-09-09,238.419998,241.429993,237.770004,238.610001,235.981705,2992200
2021-09-10,240.320007,241.320007,239.039993,239.179993,236.545425,2034500
2021-09-13,240.830002,241.800003,239.839996,241.210007,238.553070,2294800
2021-09-14,241.729996,242.250000,239.500000,241.130005,238.473953,2013800
2021-09-15,240.470001,241.270004,238.179993,240.979996,238.325607,2507200
2021-09-16,240.289993,243.589996,239.949997,243.210007,240.531036,3410700
2021-09-17,243.839996,244.630005,241.880005,242.490005,239.818970,4756600
2021-09-20,239.880005,241.960007,236.639999,239.089996,236.456421,4549900
2021-09-21,240.000000,242.350006,239.399994,240.500000,237.850891,2008300
2021-09-22,241.800003,245.860001,241.470001,243.130005,240.451920,3361900
2021-09-23,243.740005,245.949997,243.529999,244.779999,242.083740,2941700
2021-09-24,246.639999,247.380005,245.240005,246.419998,243.705673,2508800
2021-09-27,246.000000,248.899994,245.279999,248.110001,245.377075,2463300
2021-09-28,247.289993,247.710007,242.910004,243.770004,241.084869,3007500
2021-09-29,244.380005,245.710007,243.149994,244.279999,241.589249,1719000
2021-09-30,244.770004,245.419998,240.820007,241.110001,238.454163,3136800
2021-10-01,243.070007,244.690002,240.250000,242.929993,240.254120,2076000
2021-10-04,242.059998,244.809998,241.860001,243.080002,240.402466,2236500
2021-10-05,243.970001,246.880005,243.009995,245.220001,242.518890,2463100
2021-10-06,244.559998,247.160004,243.020004,247.100006,244.378204,2107900
2021-10-07,248.000000,249.949997,247.679993,248.320007,245.584747,2423900
2021-10-08,249.250000,249.630005,247.110001,247.699997,244.971573,1687500
2021-10-11,248.100006,249.139999,246.449997,246.580002,243.863922,1504000
2021-10-12,247.729996,248.600006,244.179993,244.520004,241.826614,2346700
